time_ms,raw,filtered
37490,-424591,-424591
37495,-424607,-424593
37507,-424609,-424595
37518,-424652,-424603
37530,-424585,-424601
37541,-424532,-424593
37552,-424576,-424591
37564,-424524,-424583
37575,-424545,-424579
37587,-424495,-424569
37598,-424373,-424545
37610,-424327,-424518
37621,-424227,-424482
37633,-424367,-424468
37644,-424480,-424470
37656,-424425,-424465
37667,-424447,-424463
37678,-424341,-424448
37690,-424308,-424431
37701,-424411,-424429
37713,-424441,-424431
37724,-424463,-424435
37736,-424506,-424444
37747,-424544,-424457
37759,-424586,-424474
37770,-424636,-424495
37782,-424642,-424514
37793,-424542,-424518
37804,-424582,-424526
37816,-424568,-424532
37827,-424592,-424540
37839,-424602,-424548
37850,-424681,-424565
37862,-424649,-424576
37873,-424631,-424583
37885,-424758,-424605
37896,-424694,-424617
37908,-424623,-424618
37919,-424658,-424623
37931,-424715,-424635
37942,-424746,-424649
37953,-424891,-424680
37965,-424841,-424701
37976,-424732,-424705
37988,-424792,-424716
37999,-424838,-424732
38011,-424841,-424746
38022,-424819,-424756
38034,-424947,-424780
38045,-424899,-424795
38057,-424861,-424804
38068,-424898,-424816
38079,-424851,-424821
38091,-424863,-424827
38102,-424872,-424833
38114,-424767,-424825
38125,-424796,-424822
38137,-424790,-424818
38148,-424793,-424815
38160,-424834,-424818
38171,-424944,-424834
38183,-424945,-424848
38194,-424986,-424866
38205,-424977,-424880
38217,-425045,-424901
38228,-424977,-424911
38240,-424966,-424918
38251,-425006,-424929
38263,-425063,-424946
38274,-425085,-424964
38286,-425149,-424988
38297,-425253,-425022
38309,-425044,-425025
38320,-425116,-425037
38331,-425160,-425053
38343,-425017,-425049
38354,-425029,-425047
38366,-425222,-425069
38377,-425179,-425083
38389,-425059,-425080
38400,-425148,-425089
38412,-425130,-425095
38423,-425140,-425101
38435,-425226,-425117
38446,-425274,-425137
38457,-425224,-425148
38469,-425270,-425164
38480,-425321,-425184
38492,-425299,-425199
38503,-425215,-425201
38515,-425085,-425187
38526,-425115,-425178
38538,-425221,-425184
38549,-425328,-425202
38561,-425309,-425216
38572,-425369,-425236
38583,-425362,-425252
38595,-425298,-425258
38606,-425392,-425275
38618,-425509,-425305
38629,-425404,-425318
38641,-425380,-425326
38652,-425476,-425345
38664,-425529,-425368
38675,-425411,-425374
38687,-425376,-425375
38698,-425464,-425387
38709,-425469,-425398
38721,-425464,-425407
38732,-425519,-425421
38744,-425471,-425428
38755,-425315,-425414
38767,-425262,-425395
38778,-425324,-425387
38790,-425339,-425381
38801,-425404,-425384
38813,-425241,-425367
38824,-425234,-425351
38835,-425291,-425344
38847,-425375,-425348
38858,-425235,-425334
38870,-425270,-425326
38881,-425397,-425335
38893,-425339,-425336
38904,-425248,-425325
38916,-425298,-425322
38927,-425269,-425316
38939,-425213,-425304
38950,-425206,-425292
38961,-425189,-425280
38973,-425199,-425270
38984,-425329,-425278
38996,-425407,-425295
39007,-425406,-425309
39019,-425352,-425315
39030,-425409,-425327
39042,-425403,-425337
39053,-425351,-425339
39065,-425307,-425335
39076,-425201,-425319
39087,-425231,-425308
39099,-425329,-425311
39110,-425266,-425306
39122,-425362,-425313
39133,-425398,-425324
39145,-425309,-425323
39156,-425264,-425316
39168,-425313,-425316
39179,-425287,-425313
39191,-425217,-425301
39202,-425211,-425290
39213,-425201,-425279
39225,-425078,-425254
39236,-425136,-425240
39248,-425158,-425230
39259,-425135,-425219
39271,-425098,-425204
39282,-424985,-425177
39294,-424834,-425135
39305,-424843,-425099
39317,-424776,-425059
39328,-424558,-424997
39340,-424503,-424936
39351,-424413,-424871
39362,-424269,-424796
39374,-424130,-424713
39385,-424073,-424633
39397,-424058,-424562
39408,-424043,-424498
39420,-423889,-424422
39431,-423856,-424352
39443,-423913,-424298
39454,-423745,-424229
39466,-423694,-424163
39477,-423699,-424105
39488,-423589,-424041
39500,-423432,-423965
39511,-423344,-423888
39523,-423359,-423822
39534,-423250,-423751
39546,-423168,-423679
39557,-423216,-423622
39569,-423258,-423577
39580,-423161,-423525
39592,-423071,-423469
39603,-423192,-423435
39614,-423176,-423403
39626,-423123,-423368
39637,-423063,-423330
39649,-423109,-423303
39660,-423093,-423277
39672,-423068,-423251
39683,-423100,-423233
39695,-423175,-423226
39706,-423097,-423210
39718,-423025,-423187
39729,-423008,-423165
39740,-423003,-423145
39752,-423010,-423129
39763,-422959,-423108
39775,-422998,-423095
39786,-423021,-423086
39798,-423081,-423086
39809,-422915,-423065
39821,-422858,-423040
39832,-422929,-423027
39844,-423036,-423029
39855,-423002,-423026
39866,-423027,-423027
39878,-423060,-423032
39889,-423040,-423033
39901,-423045,-423035
39912,-422882,-423016
39924,-422898,-423002
39935,-422887,-422988
39947,-422763,-422960
39958,-422705,-422929
39970,-422759,-422908
39981,-422842,-422900
39992,-422733,-422880
40004,-422751,-422864
40015,-422683,-422842
40027,-422610,-422813
40038,-422478,-422772
40050,-422361,-422721
40061,-422449,-422687
40073,-422456,-422659
40084,-422534,-422644
40096,-422462,-422622
40107,-422374,-422591
40118,-422412,-422569
40130,-422403,-422549
40141,-422319,-422521
40153,-422323,-422497
40164,-422347,-422479
40176,-422265,-422453
40187,-422225,-422425
40199,-422212,-422399
40210,-422201,-422375
40222,-422192,-422353
40233,-422215,-422336
40244,-422034,-422299
40256,-421940,-422255
40267,-421981,-422221
40279,-422025,-422197
40290,-422040,-422178
40302,-421933,-422148
40313,-421717,-422095
40325,-421662,-422041
40336,-421693,-421998
40348,-421736,-421966
40359,-421716,-421935
40370,-421647,-421899
40382,-421618,-421864
40393,-421581,-421829
40405,-421521,-421791
40416,-421460,-421750
40428,-421358,-421701
40439,-421311,-421653
40451,-421352,-421616
40462,-421439,-421594
40474,-421361,-421565
40485,-421285,-421530
40496,-421313,-421503
40508,-421245,-421471
40519,-421208,-421439
40531,-421121,-421400
40542,-421059,-421358
40554,-421120,-421329
40565,-421151,-421307
40577,-421001,-421269
40588,-421083,-421246
40600,-421007,-421217
40611,-420978,-421188
40622,-421059,-421172
40634,-420961,-421146
40645,-420976,-421125
40657,-420988,-421108
40668,-421011,-421096
40680,-421029,-421088
40691,-421106,-421091
40703,-420989,-421079
40714,-420834,-421049
40726,-420825,-421021
40737,-420770,-420990
40748,-420775,-420964
40760,-420776,-420941
40771,-420909,-420937
40783,-420867,-420929
40794,-420845,-420919
40806,-420794,-420904
40817,-420818,-420894
40829,-420842,-420888
40840,-420821,-420880
40852,-420869,-420879
40863,-420818,-420872
40875,-420813,-420865
40886,-420872,-420866
40897,-421024,-420886
40909,-421129,-420917
40920,-421039,-420933
40932,-420983,-420940
40943,-421124,-420963
40955,-421201,-420993
40966,-421261,-421027
40978,-421214,-421051
40989,-421246,-421076
41001,-421439,-421122
41012,-421556,-421177
41023,-421557,-421225
41035,-421553,-421266
41046,-421529,-421299
41058,-421625,-421340
41069,-421802,-421398
41081,-421825,-421452
41092,-421893,-421508
41104,-421981,-421568
41115,-422066,-421631
41127,-422112,-421692
41138,-422272,-421765
41149,-422499,-421857
41161,-422415,-421927
41172,-422434,-421991
41184,-422570,-422064
41195,-422655,-422138
41207,-422744,-422214
41218,-422803,-422288
41230,-422791,-422351
41241,-422732,-422399
41253,-422876,-422459
41264,-422896,-422514
41275,-422925,-422566
41287,-423100,-422633
41298,-423079,-422689
41310,-423096,-422740
41321,-423146,-422791
41333,-423101,-422830
41344,-423138,-422869
41356,-423134,-422903
41367,-423244,-422946
41379,-423359,-422998
41390,-423303,-423037
41401,-423291,-423069
41413,-423342,-423104
41424,-423463,-423149
41436,-423441,-423186
41447,-423392,-423212
41459,-423489,-423247
41470,-423495,-423278
41482,-423648,-423325
41493,-423728,-423376
41505,-423640,-423409
41516,-423593,-423432
41527,-423661,-423461
41539,-423792,-423503
41550,-423856,-423548
41562,-423800,-423580
41573,-423775,-423605
41585,-424029,-423658
41596,-424116,-423716
41608,-424045,-423758
41619,-424047,-423795
41631,-424127,-423837
41642,-424194,-423882
41653,-424133,-423914
41665,-424153,-423944
41676,-424288,-423987
41688,-424293,-424026
41699,-424237,-424053
41711,-424244,-424077
41722,-424297,-424105
41734,-424329,-424133
41745,-424237,-424146
41757,-424314,-424167
41768,-424579,-424219
41779,-424612,-424269
41791,-424540,-424303
41802,-424532,-424332
41814,-424525,-424357
41825,-424520,-424378
41837,-424652,-424413
41848,-424727,-424453
41860,-424755,-424491
41871,-424812,-424532
41883,-424783,-424564
41894,-424827,-424597
41905,-424871,-424632
41917,-424830,-424657
41928,-424705,-424663
41940,-424798,-424680
41951,-424833,-424700
41963,-424883,-424723
41974,-424939,-424750
41986,-424833,-424761
41997,-424849,-424772
42009,-424873,-424785
42020,-424930,-424804
42031,-424963,-424824
42043,-424916,-424836
42054,-424983,-424855
42066,-425055,-424880
42077,-425017,-424898
42089,-425068,-424920
42100,-425070,-424939
42112,-424992,-424946
42123,-425030,-424957
42135,-425173,-424984
42146,-425280,-425021
42157,-425119,-425034
42169,-425138,-425047
42180,-425228,-425070
42192,-425259,-425094
42203,-425277,-425117
42215,-425231,-425132
42226,-425213,-425143
42238,-425325,-425166
42249,-425405,-425196
42261,-425458,-425229
42272,-425449,-425257
42283,-425457,-425282
42295,-425471,-425306
42306,-425507,-425332
42318,-425579,-425363
42329,-425568,-425389
42341,-425628,-425419
42352,-425525,-425433
42364,-425527,-425445
42375,-425559,-425460
42387,-425649,-425484
42398,-425626,-425502
42409,-425661,-425522
42421,-425668,-425541
42432,-425661,-425556
42444,-425741,-425580
42455,-425703,-425596
42467,-425658,-425604
42478,-425696,-425616
42490,-425713,-425629
42501,-425812,-425652
42513,-425801,-425671
42524,-425677,-425672
42535,-425725,-425679
42547,-425731,-425686
42558,-425725,-425691
42570,-425758,-425700
42581,-425902,-425726
42593,-425892,-425747
42604,-425906,-425767
42616,-425924,-425787
42627,-425884,-425800
42639,-425966,-425821
42650,-425846,-425825
42661,-425865,-425830
42673,-425969,-425848
42684,-425845,-425848
42696,-425791,-425841
42707,-425824,-425839
42719,-425807,-425835
42730,-425894,-425843
42742,-425832,-425842
42753,-425834,-425841
42765,-425815,-425838
42776,-425706,-425822
42787,-425698,-425807
42799,-425672,-425791
42810,-425677,-425777
42822,-425681,-425765
42833,-425720,-425760
42845,-425620,-425743
42856,-425663,-425733
42868,-425645,-425722
42879,-425483,-425693
42891,-425471,-425666
42902,-425619,-425661
42914,-425575,-425651
42925,-425490,-425631
42936,-425461,-425610
42948,-425399,-425584
42959,-425368,-425557
42971,-425412,-425539
42982,-425315,-425511
42994,-425336,-425490
43005,-425216,-425456
43017,-425198,-425424
43028,-425373,-425418
43040,-425337,-425408
43051,-425302,-425395
43062,-425476,-425406
43074,-425464,-425414
43085,-425508,-425426
43097,-425340,-425416
43108,-425267,-425398
43120,-425278,-425383
43131,-425244,-425366
43143,-425160,-425341
43154,-425204,-425324
43166,-425245,-425315
43177,-425136,-425293
43188,-425123,-425272
43200,-425184,-425261
43211,-425114,-425243
43223,-425037,-425218
43234,-424918,-425181
43246,-424988,-425157
43257,-424879,-425123
43269,-424829,-425087
43280,-424810,-425053
43292,-424713,-425011
43303,-424704,-424973
43314,-424657,-424934
43326,-424566,-424888
43337,-424583,-424850
43349,-424507,-424808
43360,-424460,-424765
43372,-424455,-424727
43383,-424338,-424679
43395,-424348,-424638
43406,-424334,-424600
43418,-424230,-424554
43429,-424177,-424507
43440,-424022,-424447
43452,-424149,-424410
43463,-424287,-424395
43475,-424087,-424357
43486,-424071,-424322
43498,-424087,-424293
43509,-424108,-424270
43521,-424192,-424261
43532,-424205,-424254
43544,-424194,-424247
43555,-424255,-424248
43566,-424417,-424270
43578,-424399,-424287
43589,-424315,-424291
43601,-424315,-424294
43612,-424490,-424319
43624,-424456,-424337
43635,-424412,-424347
43647,-424510,-424368
43658,-424496,-424384
43670,-424549,-424405
43681,-424532,-424421
43692,-424617,-424446
43704,-424645,-424471
43715,-424640,-424493
43727,-424597,-424506
43738,-424620,-424521
43750,-424588,-424530
43761,-424601,-424539
43773,-424673,-424556
43784,-424810,-424588
43796,-424765,-424611
43807,-424686,-424621
43818,-424732,-424635
43830,-424731,-424647
43841,-424801,-424667
43853,-424790,-424683
43864,-424636,-424678
43876,-424701,-424681
43887,-424712,-424685
43899,-424693,-424686
43910,-424640,-424681
43922,-424644,-424677
43933,-424769,-424689
43944,-424699,-424691
43956,-424691,-424691
43967,-424767,-424701
43979,-424840,-424719
43990,-424743,-424722
44002,-424727,-424723
44013,-424827,-424736
44025,-424840,-424749
44036,-424800,-424756
44048,-424729,-424753
44059,-424695,-424746
44070,-424709,-424742
44082,-424711,-424739
44093,-424784,-424745
44105,-424722,-424743
44116,-424707,-424739
44128,-424699,-424734
44139,-424689,-424729
44151,-424622,-424716
44162,-424623,-424705
44174,-424784,-424715
44185,-424764,-424722
44196,-424707,-424721
44208,-424770,-424728
44219,-424873,-424747
44231,-424806,-424755
44242,-424732,-424753
44254,-424708,-424748
44265,-424822,-424758
44277,-424790,-424762
44288,-424715,-424757
44300,-424772,-424759
44311,-424802,-424765
44322,-424789,-424768
44334,-424717,-424762
44345,-424794,-424766
44357,-424872,-424780
44368,-424723,-424773
44380,-424703,-424765
