index,adc,desired_current_thirds_ma,actual_current_thirds_ma
0,2633,1200,0
1,2632,1200,2338
2,2631,1200,-1734
3,2633,1200,1459
4,2631,1200,1319
5,2632,1200,-394
6,2631,1200,2220
7,2631,1200,-1564
8,2630,1200,1685
9,2629,1200,576
10,2630,1200,1282
11,2637,1200,803
12,2639,1200,754
13,2632,1200,1652
14,2632,1200,-281
15,2631,1200,2358
16,2636,1200,-1383
17,2632,1200,836
18,2630,1200,1969
19,2632,1200,-677
20,2633,1200,914
21,2640,1200,1760
22,2635,1200,-310
23,2629,1200,2277
24,2631,1200,-1195
25,2630,1200,1580
26,2632,1200,446
27,2631,1200,1292
28,2632,1200,1199
29,2632,1200,90
30,2620,1200,2248
31,2635,1200,-1655
32,2626,1200,1562
33,2631,1200,865
34,2633,1200,504
35,2632,1200,1946
36,2630,1200,211
37,2626,1200,1782
38,2629,1200,210
39,2629,1200,1945
40,2632,1200,-470
41,2631,1200,961
42,2630,1200,999
43,2629,1200,1006
44,2629,1200,902
45,2631,1200,985
46,2631,1200,1149
47,2632,1200,410
48,2628,1200,1794
49,2636,1200,333
50,2631,1200,1560
51,2630,1200,340
52,2634,1200,1847
53,2631,1200,-431
54,2628,1200,1442
55,2629,1200,399
56,2631,1200,1537
57,2627,1200,769
58,2633,1200,610
59,2632,1200,1749
60,2614,1200,-721
61,2629,1200,1575
62,2629,1200,643
63,2642,1200,1087
64,2633,1200,713
65,2639,1200,1049
66,2631,1200,893
67,2631,1200,871
68,2620,1200,1176
69,2628,1200,535
70,2626,1200,1361
71,2625,1200,229
72,2626,1200,1855
73,2625,1200,102
74,2624,1200,1374
75,2629,1200,816
76,2620,1200,852
77,2624,1200,1142
78,2622,1200,468
79,2618,1200,1782
80,2621,1200,-265
81,2614,1200,1697
82,2616,1200,-237
83,2616,1200,1299
84,2613,1200,448
85,2610,1200,1742
86,2615,1200,89
87,2605,1200,1536
88,2607,1200,83
89,2608,1200,1878
90,2619,1200,-729
91,2601,1200,724
92,2614,1200,1567
93,2603,1200,-113
94,2603,1200,1091
95,2603,1200,734
96,2599,1200,1302
97,2601,1200,49
98,2597,1200,1769
99,2595,1200,-290
100,2590,1200,1424
101,2583,1200,183
102,2586,1200,1240
103,2588,1200,730
104,2581,1200,1063
105,2572,1200,639
106,2569,1200,1403
107,2561,1200,536
108,2567,1200,1504
109,2563,1200,307
110,2563,1200,1065
111,2560,1200,774
112,2558,1200,1142
113,2560,1200,446
114,2552,1200,1748
115,2560,1200,168
116,2554,1200,1298
117,2554,1200,340
118,2553,1200,1306
119,2551,1200,119
120,2548,1200,1490
121,2547,1200,-250
122,2546,1200,1488
123,2544,1200,296
124,2542,1200,1344
125,2539,1200,596
126,2539,1200,1421
127,2538,1200,157
128,2547,1200,1298
129,2530,1200,514
130,2529,1200,1492
131,2527,1200,254
132,2519,1200,1464
133,2519,1200,34
134,2509,1200,1603
135,2508,1200,-211
136,2505,1200,861
137,2507,1200,1464
